0,1,2,3
0.0,1.0,2001-08-22,000036
5.0,0.0,2000-10-11,000036
0.0,0.17,1997-07-07,000036
0.5,0.0,1996-07-18,000036
1.0,0.14,1995-07-26,000036
0.0,0.2,2020-05-15,000037
1.0,0.3,2008-07-04,000037
0.0,5.0,2005-05-24,000037
0.0,4.68,2004-06-10,000037
0.0,4.2,2003-07-08,000037
0.0,3.1,2002-06-25,000037
4.819264,0.7132,2001-05-09,000037
0.0,2.82,2000-06-19,000037
0.0,1.75,1999-07-19,000037
0.0,2.34,1998-07-06,000037
8.0,0.0,1997-12-02,000037
0.0,3.0,1997-07-31,000037
0.0,1.8,1996-08-01,000037
1.0,0.5,1995-07-18,000037
0.0,4.0,2018-05-21,000038
6.0,1.0,2017-07-06,000038
1.0,0.0,1998-06-12,000038
0.0,0.68,1997-09-05,000038
1.5,1.5,1996-07-25,000038
0.0,2.4,1995-10-11,000038
0.0,2.8,2021-07-20,000039
0.0,1.2,2020-06-24,000039
2.0,5.5,2019-06-28,000039
0.0,2.7,2018-07-20,000039
0.0,0.6,2017-07-20,000039
0.0,2.2,2016-07-20,000039
0.0,3.1,2015-07-22,000039
0.0,2.7,2014-07-31,000039
0.0,2.3,2013-08-15,000039
0.0,4.6,2012-06-21,000039
0.0,3.5,2011-06-01,000039
0.0,1.2,2010-06-25,000039
0.0,1.5,2009-06-12,000039
0.0,5.0,2008-06-26,000039
2.0,4.3,2007-06-01,000039
1.0,3.8,2006-07-20,000039
10.0,5.0,2005-04-25,000039
6.0,3.8,2004-06-03,000039
5.0,5.0,2002-06-13,000039
0.0,2.0,2001-07-19,000039
0.0,2.0,2000-07-20,000039
0.0,2.0,1999-07-30,000039
1.0,3.0,1998-06-30,000039
3.0,1.0,1997-06-19,000039
3.0,3.0,1996-06-11,000039
4.0,4.0,1995-08-02,000039
0.0,0.75,2019-07-18,000040
0.0,0.41,2018-05-24,000040
0.0,0.14,2017-05-11,000040
0.0,0.1,2016-04-27,000040
0.0,0.2,2015-08-24,000040
0.0,0.2,2014-06-18,000040
0.0,0.4,2013-06-21,000040
0.0,0.3,2012-08-03,000040
10.0,0.8,1999-08-10,000040
0.0,1.15,1998-07-23,000040
1.0,0.8,1996-07-18,000040
3.0,2.0,1995-10-30,000040
0.0,0.5,2021-07-05,000042
0.0,1.2,2020-07-09,000042
0.0,1.0,2019-06-13,000042
0.0,2.0,2018-06-22,000042
0.0,0.8,2017-06-22,000042
0.0,2.000717,2016-06-20,000042
0.0,1.5,2015-05-21,000042
10.0,3.0,2014-06-12,000042
0.0,5.2,2013-05-30,000042
0.0,4.0,2012-06-20,000042
0.0,6.0,2011-05-20,000042
0.0,1.5,2010-05-27,000042
0.0,0.2,2009-06-11,000042
0.0,2.0,2008-06-25,000042
0.0,1.8,2007-06-19,000042
0.0,0.5,2005-07-07,000042
0.0,0.6,2004-08-09,000042
0.0,0.8,2003-08-20,000042
0.0,1.3,2002-06-20,000042
0.0,1.5,2001-08-17,000042
0.0,1.5,2000-08-11,000042
0.0,1.6,1999-08-09,000042
0.0,3.5,1998-08-12,000042
4.0,0.81,1997-07-04,000042
3.0,5.06,1996-07-15,000042
9.0,1.78,1995-06-07,000042
0.0,0.5,2022-06-01,000045
0.0,0.3,2021-05-24,000045
0.0,0.5,2009-06-15,000045
0.0,0.5,2006-07-19,000045
0.0,0.6,2005-08-24,000045
5.0,1.8,2004-07-09,000045
2.0,0.0,1997-08-06,000045
1.0,0.5,1995-07-21,000045
0.0,1.0,2020-07-17,000046
0.0,1.5,2019-07-05,000046
0.0,1.5,2018-07-17,000046
0.0,1.5,2017-07-13,000046
0.0,1.5,2016-06-24,000046
0.0,1.5,2015-06-25,000046
0.0,1.5,2014-06-06,000046
0.0,1.0,2013-07-03,000046
0.0,0.6,2012-07-17,000046
10.0,0.5,2011-07-18,000046
0.0,1.0,2010-05-19,000046
0.0,0.5,2009-06-10,000046
10.0,0.667,2008-04-08,000046
2.0,0.25,2005-07-14,000046
2.0,0.25,2004-07-14,000046
0.0,1.0,2003-09-26,000046
0.0,1.0,2002-08-23,000046
0.0,0.84,2001-07-18,000046
2.0,0.0,1997-07-29,000046
5.0,0.0,1997-04-04,000046
1.0,0.5,1996-07-09,000046
3.0,0.6,1995-05-30,000046
0.0,13.0,2022-04-21,000048
3.0,15.0,2021-05-10,000048
0.0,7.5,2020-07-20,000048
0.3,0.0,2019-11-08,000048
3.8,0.3,2000-05-16,000048
8.0,0.0,1998-10-27,000048
0.0,1.1,1997-07-14,000048
6.0,0.0,1996-06-18,000048
0.0,7.5,2022-05-18,000049
4.5,10.0,2021-05-11,000049
0.0,7.0,2020-06-11,000049
0.0,2.5,2019-06-06,000049
0.0,2.5,2018-05-09,000049
0.0,2.5,2017-05-11,000049
0.0,1.5,2016-05-13,000049
0.0,2.0,2015-04-28,000049
5.0,2.0,2014-04-24,000049
0.0,3.0,2013-06-17,000049
0.0,4.0,2012-09-10,000049
0.0,2.5,2012-07-12,000049
0.0,1.0,2011-07-08,000049
